	Hue	Saturation	Brightness
0	5325	4895	0
1	216	0	0
2	342	22	33
3	371	42	288
4	418	1058	506
5	651	92	735
6	508	1423	871
7	1768	222	981
8	2123	474	1072
9	3395	429	1177
10	4536	2458	1170
11	3353	3173	1136
12	4205	1731	1051
13	4013	2147	972
14	4734	2963	815
15	4624	1607	807
16	6452	1096	668
17	3384	742	631
18	4895	358	540
19	1654	237	468
20	1117	228	412
21	687	219	385
22	276	185	405
23	286	204	321
24	70	195	340
25	28	234	319
26	190	266	275
27	6	90	303
28	1250	273	289
29	48	119	329
30	2	339	307
31	16	392	281
32	0	63	232
33	0	121	243
34	802	489	199
35	190	73	174
36	1	514	197
37	0	63	187
38	0	106	208
39	0	628	191
40	0	144	196
41	0	52	205
42	6700	838	195
43	0	88	181
44	0	37	222
45	0	190	206
46	0	867	218
47	8	183	204
48	0	39	257
49	77	92	268
50	1	22	256
51	1016	1005	242
52	0	55	271
53	0	98	283
54	0	118	235
55	0	94	259
56	3	807	258
57	0	122	236
58	0	146	296
59	226	46	234
60	19	123	251
61	0	73	261
62	0	42	250
63	0	873	235
64	0	17	276
65	0	52	240
66	0	91	249
67	0	129	289
68	0	77	275
69	0	137	260
70	1563	202	267
71	0	76	307
72	3	519	298
73	0	56	290
74	0	92	324
75	0	253	316
76	0	166	333
77	50	120	326
78	0	128	342
79	1	273	336
80	0	157	324
81	0	204	310
82	0	202	279
83	0	262	303
84	0	128	305
85	3	1015	305
86	0	365	304
87	0	381	301
88	0	377	339
89	0	410	368
90	0	465	340
91	0	724	344
92	0	449	367
93	258	591	374
94	0	529	362
95	0	687	409
96	0	702	422
97	0	779	494
98	0	1086	442
99	33	802	456
100	0	1026	494
101	0	672	427
102	0	1224	434
103	9	880	548
104	6	818	573
105	0	1104	534
106	1052	1067	519
107	2	883	565
108	0	822	589
109	0	935	665
110	0	820	750
111	0	819	788
112	12	843	760
113	105	784	815
114	0	808	824
115	0	861	806
116	216	705	801
117	0	692	857
118	0	671	753
119	8	880	739
120	20	969	709
121	0	937	660
122	280	891	679
123	107	934	705
124	3	839	711
125	0	917	666
126	0	800	640
127	373	1360	588
128	0	888	576
129	1	839	550
130	20	810	548
131	688	781	580
132	0	735	604
133	0	726	616
134	773	656	626
135	4040	713	667
136	0	732	652
137	0	607	687
138	61	578	673
139	2137	604	720
140	18	564	682
141	7	602	633
142	127	539	615
143	2786	528	712
144	18	476	750
145	482	509	756
146	3356	540	773
147	157	546	781
148	61	460	750
149	2	393	695
150	270	520	667
151	8	417	619
152	47	247	715
153	21	450	720
154	736	319	812
155	280	281	758
156	55	312	759
157	147	245	644
158	59	237	506
159	63	209	462
160	1	233	325
161	202	243	268
162	159	168	212
163	31	232	148
164	44	128	131
165	0	157	119
166	3	148	137
167	10	146	133
168	0	130	183
169	0	47	201
170	491	201	217
171	0	104	232
172	13	92	312
173	12	65	392
174	1	87	486
175	34	58	552
176	8	52	616
177	75	46	594
178	100	38	601
179	1	35	514
180	1	34	499
181	13	22	422
182	6	42	401
183	0	21	406
184	18	19	437
185	0	15	449
186	1	6	435
187	75	27	437
188	28	15	649
189	0	10	926
190	1	8	724
191	3	16	531
192	2	8	577
193	0	5	828
194	0	8	1054
195	10	9	816
196	1	7	421
197	0	5	146
198	166	4	29
199	1	5	11
200	26	10	6
201	0	6	1
202	0	3	2
203	1	1	0
204	0	4	0
205	23	3	0
206	1	3	0
207	3	2	0
208	1	3	0
209	0	0	0
210	0	0	0
211	0	2	0
212	8	1	0
213	0	1	0
214	0	0	0
215	0	2	0
216	3	3	0
217	0	1	0
218	0	1	0
219	0	0	0
220	0	1	0
221	48	1	0
222	1	0	0
223	0	0	0
224	0	0	0
225	0	0	0
226	15	0	0
227	0	1	0
228	0	0	0
229	0	2	0
230	0	0	0
231	6	0	0
232	1	0	0
233	548	0	0
234	0	0	0
235	0	0	0
236	0	0	0
237	0	0	0
238	0	0	0
239	10	1	0
240	46	0	0
241	1	0	0
242	0	0	0
243	0	0	0
244	156	0	0
245	0	0	0
246	11	0	0
247	13	0	0
248	17	0	0
249	19	0	0
250	140	0	0
251	60	0	0
252	136	0	0
253	144	0	0
254	141	0	0
255	0	1	0
