	Red	Green	Blue
0	1	0	0
1	0	0	10
2	36	35	74
3	296	295	384
4	522	517	737
5	754	756	1137
6	891	906	1417
7	1020	1003	1540
8	1132	1088	1588
9	1209	1225	1608
10	1199	1242	1378
11	1176	1242	1157
12	1099	1136	987
13	948	1169	934
14	767	1008	843
15	778	907	823
16	622	833	767
17	613	748	718
18	532	685	733
19	485	609	709
20	420	649	706
21	384	620	713
22	409	617	672
23	336	591	639
24	343	559	659
25	311	536	659
26	279	486	634
27	294	465	632
28	292	508	657
29	314	473	657
30	320	457	672
31	280	468	686
32	231	432	709
33	237	475	729
34	209	441	654
35	170	422	625
36	188	405	589
37	191	397	544
38	200	409	577
39	196	422	593
40	203	426	626
41	194	426	639
42	189	444	652
43	185	424	682
44	233	441	706
45	201	452	723
46	225	468	767
47	213	472	706
48	248	480	678
49	264	473	678
50	264	473	622
51	248	435	611
52	272	411	639
53	280	395	682
54	237	401	715
55	264	413	765
56	264	401	749
57	242	447	790
58	296	416	817
59	247	427	797
60	251	492	798
61	258	489	809
62	247	486	792
63	244	520	791
64	275	514	703
65	246	540	758
66	253	577	762
67	291	531	768
68	279	526	692
69	263	496	785
70	267	444	722
71	292	485	649
72	293	465	689
73	294	475	622
74	317	492	599
75	330	520	581
76	325	578	620
77	318	541	603
78	344	648	585
79	324	667	582
80	321	690	616
81	315	728	665
82	283	698	699
83	296	724	762
84	313	644	689
85	302	696	699
86	304	772	664
87	297	751	733
88	335	812	692
89	364	836	729
90	350	834	710
91	334	815	688
92	364	901	705
93	376	902	672
94	367	878	646
95	422	786	621
96	435	722	558
97	488	687	587
98	443	710	518
99	463	694	444
100	477	699	337
101	424	704	308
102	428	680	300
103	551	688	222
104	568	669	212
105	552	706	154
106	553	663	156
107	661	828	163
108	720	949	220
109	869	1083	266
110	826	1237	353
111	800	1276	346
112	771	1053	375
113	797	1015	364
114	798	878	343
115	790	786	276
116	782	693	237
117	792	589	197
118	682	544	115
119	641	450	73
120	591	364	67
121	594	220	41
122	648	150	27
123	698	107	25
124	701	55	30
125	652	48	28
126	646	37	31
127	593	44	22
128	570	35	24
129	544	34	24
130	555	30	25
131	574	35	20
132	614	25	23
133	617	27	20
134	625	23	27
135	660	21	30
136	655	18	27
137	695	23	23
138	690	20	22
139	725	28	26
140	689	31	23
141	632	26	23
142	625	22	24
143	715	34	24
144	746	25	31
145	757	26	27
146	797	27	13
147	788	25	30
148	763	23	28
149	715	37	34
150	689	32	21
151	634	29	35
152	747	35	25
153	768	46	34
154	877	39	43
155	838	30	33
156	863	53	47
157	769	44	32
158	668	68	45
159	628	59	42
160	490	83	60
161	521	102	58
162	489	100	74
163	511	124	82
164	514	136	96
165	509	134	111
166	550	192	125
167	504	197	136
168	483	225	172
169	455	259	197
170	450	354	219
171	401	402	226
172	394	498	310
173	368	570	392
174	391	626	484
175	418	568	556
176	451	507	630
177	534	492	596
178	692	491	599
179	659	437	518
180	759	458	494
181	613	403	432
182	460	449	402
183	492	443	409
184	672	524	429
185	949	793	461
186	900	807	441
187	530	670	431
188	206	658	633
189	46	895	914
190	12	1157	716
191	2	1026	529
192	0	536	568
193	2	223	823
194	0	61	1051
195	0	20	816
196	0	3	421
197	0	2	146
198	0	3	29
199	0	0	11
200	0	0	6
201	0	0	1
202	0	0	2
203	0	0	0
204	0	0	0
205	0	0	0
206	0	0	0
207	0	0	0
208	0	0	0
209	0	0	0
210	0	0	0
211	0	0	0
212	0	0	0
213	0	0	0
214	0	0	0
215	0	0	0
216	0	0	0
217	0	0	0
218	0	0	0
219	0	0	0
220	0	0	0
221	0	0	0
222	0	0	0
223	0	0	0
224	0	0	0
225	0	0	0
226	0	0	0
227	0	0	0
228	0	0	0
229	0	0	0
230	0	0	0
231	0	0	0
232	0	0	0
233	0	0	0
234	0	0	0
235	0	0	0
236	0	0	0
237	0	0	0
238	0	0	0
239	0	0	0
240	0	0	0
241	0	0	0
242	0	0	0
243	0	0	0
244	0	0	0
245	0	0	0
246	0	0	0
247	0	0	0
248	0	0	0
249	0	0	0
250	0	0	0
251	0	0	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
